   ,ΤΙΤΛΟΣ,ΕΠΙΧΕΙΡΗΜΑΤΙΑΣ,ΔΙΕΥΘΥΝΣΗ,ΤΚ,ΠΕΡΙΦΕΡΕΙΑ,ΠΕΡΙΦΕΡΕΙΑΚΗ_ΕΝΟΤΗΤΑ,ΚΩΔΙΚΟΣ ΔΗΜΟΥ,ΔΗΜΟΣ,ΤΗΛΕΦΩΝΟ,EMAIL,ΤΑΞΗ,ΗΜ.ΕΚΔΟΣΗΣ ΑΔΕΙΑΣ,ΕΤΟΣ_ΠΡΩΤΗΣ_ΛΕΙΤΟΥΡΓΙΑΣ,ΕΓΚΕΚΡΙΜΕΝΟΣ ΑΡΙΘΜΟΣ ΘΕΣΕΩΝ,ΕΓΚΕΚΡΙΜΕΝΟΣ ΑΡΙΘΜΟΣ ΚΑΤΑΛΛΥΜΑΤΩΝ,ΕΓΚΕΚΡΙΜΕΝΟΣ ΑΡΙΘΜΟΣ ΑΤΟΜΩΝ
237,ANCIENT ASSINI BEACH,ΜΑΝΟΥΣΑΚΗΣ ΔΗΜΗΤΡΙΟΣ &ΣΙΑ ΟΕ,ΑΣΙΝΗ ΔΡΕΠΑΝΟΥ,21100,Πελοποννήσου,Αργολίδας,9236,ΝΑΥΠΛΙΕΩΝ,2752061587,,0Γ,11/1/1977,1977,43,0,150
238,SUNSET,,ΝΑΥΠΛΙΟΥ 1 ΤΟΛΟ,,Πελοποννήσου,Αργολίδας,9236,ΝΑΥΠΛΙΕΩΝ,,,0Γ,,,37,,111
239,ΙΡΙΑ ΜΠΗΤΣ ΚΑΜΠΙΝΓΚ - IRIA BEACH,ΜΗΤΣΟΠΟΥΛΟΣ ΒΑΣΙΛΕΙΟΣ,ΠΑΡΑΛΙΑ ΙΡΙΩΝ ΑΣΙΝΗΣ,21060,Πελοποννήσου,Αργολίδας,9236,ΝΑΥΠΛΙΕΩΝ,2752094253-94254-94253,,0Γ,,,44,0,142
240,ΑΚΤΗ ΠΛΑΚΑ-PLAKA BEACH,DANDIS AE ΤΟΥΡ. ΞΕΝΟΔ. ΕΠΙΧΕΙΡΗΣΕΙΣ,ΔΡΕΠΑΝΟ ΑΣΙΝΗΣ,21060,Πελοποννήσου,Αργολίδας,9236,ΝΑΥΠΛΙΕΩΝ,2752092194-5,,0Γ,,,36,0,108
241,ΛΕΥΚΑ ΑΚΤΗ,ΓΑΒΡΗΛΟΣ ΠΑΝΑΓΙΩΤΗΣ & ΣΙΑ ΟΕ,ΒΙΒΑΡΙ ΑΣΙΝΗΣ,21100,Πελοποννήσου,Αργολίδας,9236,ΝΑΥΠΛΙΕΩΝ,2752092334,,0Γ,,,104,0,312
242,ΠΟΣΕΙΔΩΝ,Κ. ΜΑΡΚΟΥ & ΣΙΑ Ο.Ε,ΠΑΡΑΛΙΑ ΙΡΙΩΝ,21060,Πελοποννήσου,Αργολίδας,9236,ΝΑΥΠΛΙΕΩΝ,2752094091,,0Γ,,,81,0,243
243,ΞΕΝΙ - XENI,ΦΛΙΓΚΑ ΓΕΩΡΓΙΑ,ΚΑΣΤΡΑΚΙ ΑΣΙΝΗΣ,21100,Πελοποννήσου,Αργολίδας,9236,ΝΑΥΠΛΙΕΩΝ,2752059338,,0Γ,,,31,0,93
244,ΑΡΓΟΛΙΚΗ ΑΚΤΗ,ΝΤΑΝΤΗΣ ΗΛΙΑΣ & ΣΙΑ Ο.Ε,ΔΡΕΠΑΝΟ ΑΣΙΝΗΣ,21060,Πελοποννήσου,Αργολίδας,9236,ΝΑΥΠΛΙΕΩΝ,2752092876,,0Γ,,,44,0,153
245,ΤΟΛΟ ΠΛΑΖ,ΝΙΩΤΗΣ ΠΑΝΑΓΙΩΤΗΣ,ΜΠΟΥΜΠΟΥΛΙΝΑΣ 2,0,Πελοποννήσου,Αργολίδας,9236,ΝΑΥΠΛΙΕΩΝ,0752-59133,,0Γ,,1996,12,0,36
246,LIDO II,ΣΑΜΠΑΡΙΩΤΗΣ ΕΜΜΑΝΟΥΗΛ,ΤΟΛΟ - ΑΣΙΝΗΣ -ΝΑΥΠΛΙΟΥ,21056,Πελοποννήσου,Αργολίδας,9236,ΝΑΥΠΛΙΕΩΝ,0752-27213/28494,,0Γ,5/29/1995,1995,60,0,180
247,ASTROS,ΠΛΑΤΗΣ ΔΗΜΗΤΡΙΟΣ & ΣΙΑ Ο.Ε,ΠΑΡΑΛΙΟΥ ΑΣΤΡΟΥΣ,22001,Πελοποννήσου,Αρκαδίας,9237,ΒΟΡΕΙΑΣ ΚΥΝΟΥΡΙΑΣ,2755051500-2751022267,,0Γ,,,69,0,207
248,ΡΕΠΟΝΤΙΝΑ,ΥΙΟΙ ΑΘΑΝ. ΚΟΥΛΕΝΤΙΑΝΟΥ ΟΕ,,22006,Πελοποννήσου,Αρκαδίας,9237,ΒΟΡΕΙΑΣ ΚΥΝΟΥΡΙΑΣ,2755091091,,0Γ,11/26/1984,1984,100,,300
249,ΘΥΡΕΑ,ΦΛΩΚΑΣ ΘΕΟΔΩΡΟΣ & ΣΙΑ Ο.Ε,ΠΑΡΑΛΙΟ ΑΣΤΡΟΣ,22001,Πελοποννήσου,Αρκαδίας,9237,ΒΟΡΕΙΑΣ ΚΥΝΟΥΡΙΑΣ,2755051002,,0Γ,,,60,0,180
250,ΤΣΕΡΦΟΣ,ΣΟΥΡΣΟΥ ΕΛΕΝΗ ΤΟΥ ΓΕΩΡΓΙΟΥ,ΛΕΩΝΙΔΙΟ,22300,Πελοποννήσου,Αρκαδίας,9240,ΝΟΤΙΑΣ ΚΥΝΟΥΡΙΑΣ,2757041083,,0Γ,,,45,0,130
251,ΖΑΡΙΤΣΙ,CAMPING ΖΑΡΙΤΣΙ Α.Ε,ΤΥΡΟΣ,23001,Πελοποννήσου,Αρκαδίας,9240,ΝΟΤΙΑΣ ΚΥΝΟΥΡΙΑΣ,2757041074 6947045561,,0Γ,4/12/1995,1995,76,0,228
252,ΜΠΛΕ ΔΕΛΦΙΝΙ - BLUE DOLPHIN,ΚΟΥΣΠΟΥ ΑΝΝΑ - ΕΛΕΥΘΕΡΙΑ,ΛΕΧΑΙΟ,20011,Πελοποννήσου,Κορινθίας,9243,ΚΟΡΙΝΘΙΩΝ,2741025766-2741085959,,0Β,,,74,0,222
253,ΜΠΙΑΡΡΙΤΖ-BIARRITZ,ΣΠΑΝΟΣ ΜΕΡΚΟΥΡΙΟΣ,ΑΛΜΥΡΗ,20100,Πελοποννήσου,Κορινθίας,9243,ΚΟΡΙΝΘΙΩΝ,2741033441,,0Γ,,,32,0,96
254,ISTHMIA BEACH,ΚΟΥΤΣΟΓΚΙΛΑ ΔΗΜΗΤΡΑ ΕΠΕ   ΤΟΥΡ. & ΞΕΝ. ΕΠΙΧ.,ΙΣΘΜΙΑ ΚΟΡΙΝΘΙΑΣ,,Πελοποννήσου,Κορινθίας,9243,ΚΟΡΙΝΘΙΩΝ,2741037720,,0Β,,,100,0,300
255,ΚΟΡΙΝΘΙΑΚΗ ΑΚΤΗ,ΘΕΟΔΟΣΙΟΥ-ΔΗΜΟΓΕΡΟΝΤΑ ΣΟΦΙΑ,ΚΑΝΤΑΡΕ ΑΡΧΑΙΑΣ ΚΟΡΙΝΘΟΥ,20100,Πελοποννήσου,Κορινθίας,9243,ΚΟΡΙΝΘΙΩΝ,0741/27920,,0Γ,5/5/1999,1999,33,0,99
256,ΠΟΣΕΙΔΩΝ,ΠΙΠΙΝΗΣ ΣΠΥΡΟΣ-ΠΙΠΙΝΗΣ ΓΕΩΡΓΙΟΣ ΟΕ,ΑΛΜΥΡΗ,20100,Πελοποννήσου,Κορινθίας,9243,ΚΟΡΙΝΘΙΩΝ,0741-33302,,0Γ,8/23/1978,1978,81,0,243
257,ΓΛΑΡΟΣ,ΧΙΩΤΗ ΒΑΣΙΛΙΚΗ,61 ΧΙΛ. ΠΕΟ ΑΘΗΝΩΝ - ΚΟΡΙΝΘΟΥ,,Πελοποννήσου,Κορινθίας,9244,ΛΟΥΤΡΑΚΙΟΥ-ΑΓ.ΘΕΟΔΩΡΩΝ,2296062805,,0Γ,,,60,0,180
258,ΛΙΜΝΗ ΗΡΑΙΟΥ - LIMNI IREOU,ΓΕΡΟΥ ΙΩΑΝΝΗΣ,ΛΙΜΝΗ ΗΡΑΙΟΥ ΠΕΡΑΧΩΡΑΣ,20300,Πελοποννήσου,Κορινθίας,9244,ΛΟΥΤΡΑΚΙΟΥ-ΑΓ.ΘΕΟΔΩΡΩΝ,2741091229-2741091230,,0Δ,,,31,0,124
259,ΑΛΚΥΟΝΗ,ΑΛΚΥΟΝΗ HOLIDAYS A.E,ΘΕΣΗ ΒΛΗΧΑ ΚΟΙΝ.ΠΙΣΙΩΝ,20100,Πελοποννήσου,Κορινθίας,9244,ΛΟΥΤΡΑΚΙΟΥ-ΑΓ.ΘΕΟΔΩΡΩΝ,2744057294-6977355205,,0Γ,12/18/1992,1992,167,0,501
260,ΜΕΛΤΕΜΙ-MELTEMI,ΓΙΑΝΝΑΚΑΚΟΥ ΑΛΕΞΑΝΔΡΑ κ ΣΙΑ ΕΕ,ΜΑΥΡΟΒΟΥΝΙ,23200,Πελοποννήσου,Λακωνίας,9248,ΑΝΑΤΟΛΙΚΗΣ ΜΑΝΗΣ,0733-23833,,0Α,4/13/1995,1995,98,0,288
261,ΑΚΤΗ ΔΙΑΣ - DIAS BEACH,CAMP BEACH A.E,ΒΑΘΥ ΓΥΘΕΙΟΥ,23200,Πελοποννήσου,Λακωνίας,9248,ΑΝΑΤΟΛΙΚΗΣ ΜΑΝΗΣ,2733093293,,0Β,,,100,0,400
262,ΠΟΡΤΟ ΑΓΕΡΑΝΟΣ-PORTO AGERANOS,ΚΑΨΟΚΟΛΗΣ ΠΡΟΚΟΠΙΟΣ,ΒΑΘΥ ΓΥΘΕΙΟΥ,23200,Πελοποννήσου,Λακωνίας,9248,ΑΝΑΤΟΛΙΚΗΣ ΜΑΝΗΣ,2733093342-6975733776,,0Γ,,,38,0,114
263,ΑΚΤΗ ΜΑΝΗ,ΔΙΟΝΥΣΙΟΣ ΛΙΝΟΣ & ΥΙΟΙ Ο.Ε,ΜΑΥΡΟΒΟΥΝΙ ΓΥΘΕΙΟΥ,23200,Πελοποννήσου,Λακωνίας,9248,ΑΝΑΤΟΛΙΚΗΣ ΜΑΝΗΣ,2733023450,,0Γ,,,238,,714
264,ΚΡΟΝΟΣ,ΔΡΑΚΟΥΛΑΚΟΥ ΑΦΟΙ Ο.Ε,ΒΑΘΥ ΓΥΘΕΙΟΥ Ν. ΛΑΚΩΝΙΑΣ,23200,Πελοποννήσου,Λακωνίας,9248,ΑΝΑΤΟΛΙΚΗΣ ΜΑΝΗΣ,,,0Γ,,,69,0,207
265,ΚΟΛΠΟΣ ΓΥΘΕΙΟΥ GYTHION BAY,ΕΠΙΧΕΙΡΗΣΕΙΣ ΑΝΩΝΥΜΗ ΕΤΑΙΡΕΙΑ,ΜΑΥΡΟΒΟΥΝΙ ΓΥΘΕΙΟΥ,23200,Πελοποννήσου,Λακωνίας,9248,ΑΝΑΤΟΛΙΚΗΣ ΜΑΝΗΣ,2733022522,,0Γ,,,71,0,213
266,ΣΙΜΟΣ ΕΛΑΦΟΝΗΣΟΣ,SIMOS PARADISE Ε.Π.Ε.,ΕΛΑΦΟΝΗΣΟΣ,23053,Πελοποννήσου,Λακωνίας,9249,ΕΛΑΦΟΝΗΣΟΥ,"0734-22672,3-22897",,0Γ,7/6/2001,2001,125,4,520
267,ΠΑΛΑΙΟΛΟΓΙΟ ΜΥΣΤΡΑΣ,ΚΑΠΕΤΑΝΕΑΣ ΑΛΕΞΙΟΣ,,,Πελοποννήσου,Λακωνίας,9252,ΣΠΑΡΤΗΣ,,,0Γ,,,60,0,180
268,CASTLE VIEW,ΜΥΣΤΡΑΣ Α.Ε ΤΟΥΡ. & ΞΕΝ. ΕΠΙΧ. Α.Ε,ΜΥΣΤΡΑΣ ΛΑΚΩΝΙΑΣ,23100,Πελοποννήσου,Λακωνίας,9252,ΣΠΑΡΤΗΣ,2731083303,,0Γ,,,72,0,216
269,ΤΑ ΔΕΛΦΙΝΙΑ,ΠΕΡΔΙΚΕΑΣ ΚΥΡΙΑΚΟΣ ΤΟΥ ΣΤΑΥΡΟΥ,ΚΑΡΔΑΜΥΛΗ,24022,Πελοποννήσου,Μεσσηνίας,9253,ΔΥΤΙΚΗΣ ΜΑΝΗΣ,,,0Γ,,,72,0,216
270,ΚΑΛΟΓΡΙΑ,ΕΥΑΓΓΕΛΙΑ ΜΑΛΑΚΟΥΔΗ,ΚΑΛΟΓΡΙΑ ΣΤΟΥΠΑ,24024,Πελοποννήσου,Μεσσηνίας,9253,ΔΥΤΙΚΗΣ ΜΑΝΗΣ,2721077319,,0Β,11/5/1980,1980,102,0,306
271,ΦΑΡΑΙ,ΦΟΥΝΤΕΑ ΠΑΝΑΓΙΩΤΑ,ΦΑΡΑΙ ΚΑΛΑΜΑΤΑΣ,24100,Πελοποννήσου,Μεσσηνίας,9254,ΚΑΛΑΜΑΤΑΣ,2721029520,,0Γ,6/21/1969,1969,28,0,84
272,ΑΓΙΟΣ ΑΝΔΡΕΑΣ,ΒΑΛΣΑΜΑΚΗΣ Π-ΣΕΡΕΜΕΤΗΣ Γ.,ΑΓΙΟΣ ΑΝΔΡΕΑΣ,,Πελοποννήσου,Μεσσηνίας,9255,ΜΕΣΣΗΝΗΣ,,,0Γ,,,,,
273,ΠΕΤΑΛΙΔΙ ΜΠΗΤΣ PETALIDI BEACH,ΧΑΛΒΑΤΣΙΩΤΗΣ ΔΗΜΗΤΡΙΟΣ,ΓΩΝΙΕΣ ΠΕΤΑΛΙΔΙΟΥ,24005,Πελοποννήσου,Μεσσηνίας,9255,ΜΕΣΣΗΝΗΣ,2722031154-2722084251,,0Γ,,,68,0,204
274,ΜΕΝΙ BEACH,ΜΑΡΓΟΣ ΓΕΩΡΓΙΟΣ -ΜΟΥΡΓΟΣ ΔΙΟΝ ΕΠΕ,ΚΟΡΩΝΗ,24004,Πελοποννήσου,Μεσσηνίας,9257,ΠΥΛΟΥ-ΝΕΣΤΟΡΟΣ,,,0Γ,,,88,,264
275,ΚΟΡΩΝΗ,ΔΗΜΗΤΡΟΥΛΑ Α. ΚΑΙ ΣΙΑ Α.Ε,ΚΟΡΩΝΗ ΜΕΣΣΗΝΙΑΣ,24004,Πελοποννήσου,Μεσσηνίας,9257,ΠΥΛΟΥ-ΝΕΣΤΟΡΟΣ,0725-22119,,0Γ,9/25/1989,1989,86,0,258
276,ΤΣΑΠΙ,ΛΑΜΠΡΟΠΟΥΛΟΣ ΘΕΟΔΩΡΟΣ,ΧΡΥΣΟΚΕΛΑΡΙΑ ΚΟΡΩΝΗΣ,24004,Πελοποννήσου,Μεσσηνίας,9257,ΠΥΛΟΥ-ΝΕΣΤΟΡΟΣ,,,0Γ,,,45,0,180
277,ΛΟΥΤΣΑ,ΤΣΩΝΗΣ ΝΙΚΟΛΑΟΣ ΤΟΥ ΠΑΝΑΓΙΩΤΗ,ΛΟΥΤΣΑ ΦΟΙΝΙΚΟΥΝΤΑΣ,24006,Πελοποννήσου,Μεσσηνίας,9257,ΠΥΛΟΥ-ΝΕΣΤΟΡΟΣ,2723071169,,0Γ,,,59,0,177
278,ΜΕΘΩΝΗ,,ΜΕΘΩΝΗ ΜΕΣΣΗΝΙΑΣ,24006,Πελοποννήσου,Μεσσηνίας,9257,ΠΥΛΟΥ-ΝΕΣΤΟΡΟΣ,,,0Δ,,,100,0,300
279,ΘΙΝΕΣ,,ΦΟΙΝΙΚΟΥΝΤΑ,24006,Πελοποννήσου,Μεσσηνίας,9257,ΠΥΛΟΥ-ΝΕΣΤΟΡΟΣ,2723071200,,0Γ,,,50,0,200
280,ΦΟΙΝΙΚΕΣ,ΤΣΩΝΗΣ ΗΛ. - ΚΛΗΡΟΠΟΥΛΟΣ ΘΕΩΔ. ΙΩΣΗΦΕΛΗΣ ΣΠ. Ο.Ε.Ε,ΜΕΘΩΝΗ,24006,Πελοποννήσου,Μεσσηνίας,9257,ΠΥΛΟΥ-ΝΕΣΤΟΡΟΣ,27230771201,,0Γ,,,81,12,372
281,ΑΜΜΟΣ,ΤΟΜΑΡΑΣ ΝΙΚΟΛΑΟΣ & ΤΟΜΑΡΑΣ ΚΩΝ/ΝΟΣ,ΦΟΙΝΙΚΟΥΝΤΑ,24006,Πελοποννήσου,Μεσσηνίας,9257,ΠΥΛΟΥ-ΝΕΣΤΟΡΟΣ,2723071262,,0Γ,,,81,0,243
282,ΑΝΕΜΟΜΥΛΟΣ,ΑΦΟΙ Κ. ΡΟΜΠΑΚΗ - ΑΝΕΜΟΜΥΛΟΣ Α.Ε,ΑΝΕΜΟΜΥΛΟΣ ΦΟΙΝΙΚΟΥΝΤΑ,24006,Πελοποννήσου,Μεσσηνίας,9257,ΠΥΛΟΥ-ΝΕΣΤΟΡΟΣ,2723071360,,0Γ,,,75,0,300
283,ΝΑΥΑΡΙΝΟ,ΚΑΡΑΜΠΑΤΣΟΣ ΑΝΑΣΤΑΣΙΟΣ ΑΤΕ ΅ΝΑΥΑΡΙΝΟΆ,ΓΙΑΛΟΒΑ,24001,Πελοποννήσου,Μεσσηνίας,9257,ΠΥΛΟΥ-ΝΕΣΤΟΡΟΣ,0723-22761,,0Γ,11/20/1989,1989,71,0,213
284,ΝΑΥΑΡΙΝΟ ΙΙ-NAVARINO II,ΑΝΑΣΤΑΣΙΟΣ ΚΑΡΑΜΠΑΤΣΟΣΑΝΩΝΥΜΗ ΤΟΥΡΙΣΤΙΚΗ ΕΤΑΙΡΙΑ,ΑΣΠΡΟΧΩΜΑ ΓΙΑΛΟΒΑΣ ΠΥΛΟΥ,24001,Πελοποννήσου,Μεσσηνίας,9257,ΠΥΛΟΥ-ΝΕΣΤΟΡΟΣ,2723022973,,0Γ,,,0,0,0
285,ΕΡΩΔΙΟΣ,ΠΑΝΟΥΡΓΙΑΣ ΕΥΘΥΜΙΟΣ ΤΟΥ ΙΑΚΩΒΟΥ,ΓΟΥΒΑ ΓΙΑΛΟΒΑΣ ΠΥΛΟΥ,24001,Πελοποννήσου,Μεσσηνίας,9257,ΠΥΛΟΥ-ΝΕΣΤΟΡΟΣ,2723028240-6973380550,,0Β,,,98,8,392
286,ΠΡΩΤΗ,ΕΛΕΝΗ Η. ΒΑΡΟΥΤΣΟΥ & ΣΙΑ ΕΕ,ΜΑΡΑΘΟΠΟΛΗ,24400,Πελοποννήσου,Μεσσηνίας,9258,ΤΡΙΦΥΛΙΑΣ,0763-61211,,0Γ,4/25/1991,1991,59,0,177
287,ΚΥΠΑΡΙΣΣΙΑ,ΑΦΟΙ ΧΡΙΣΤΟΠΟΥΛΟΙ Ο.Ε,ΚΑΜΠΟΣ,24500,Πελοποννήσου,Μεσσηνίας,9258,ΤΡΙΦΥΛΙΑΣ,,,0Γ,,,108,0,324
288,ΠΛΟΥΤΑΡΧΟΣ,ΝΤΑΝΤΗΣ ΔΗΜΗΤΡΙΟΣ,ΠΑΡΑΛΙΑ ΠΟΛΙΤΙΚΩΝ ΝΕΡΟΤΡΙΒΙΑΣ,34400,Στερεάς Ελλάδας,Ευβοίας,9148,ΔΙΡΦΥΩΝ-ΜΕΣΣΑΠΙΩΝ,22280 31053,,0Γ,,2004,67,,268
289,ΠΡΑΪΑ-ΝΤΑΛΟΥΖ,Α. ΓΚΙΚΑΣ-Σ. ΤΡΙΑΝΤΗΣ & ΣΙΑ Ο.Ε.,ΘΕΣΗ ΔΡΟΣΙΑ ΧΑΛΚΙΔΑΣ,341 00,Στερεάς Ελλάδας,Ευβοίας,9155,ΧΑΛΚΙΔΕΩΝ,22210 62142,,0Γ,,,50,0,200
290,TENNIS CLUB,ΛΙΒΑΝΑΤΕΣ ΑΕ ΤΟΥΡ.ΞΕΝ.ΕΠΙΧ.,,35007,Στερεάς Ελλάδας,Φθιώτιδας,9161,ΛΟΚΡΩΝ,0233-23305,,0Γ,11/9/1988,1988,110,0,330
291,BLUE BAY,ΚΩΝ/ΝΟΣ ΨΙΜΟΓΙΑΝΝΟΣ Τ.Α.Ε. Α.Ε.,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ,35006,Στερεάς Ελλάδας,Φθιώτιδας,9163,ΜΩΛΟΥ - ΑΓΙΟΥ ΚΩΝΣΤΑΝΤΙΝΟΥ,22350 31130-1,,0Β,,,61,,183
292,ΚΟΠΕΛΙΑ (COPELLIA),ΚΟΥΤΟΥΒΑΛΑ ΑΙΚΑΤΕΡΙΝΗ,ΑΣΠΡΟΝΕΡΙ-ΑΓ.ΚΩΝ/ΝΟΣ,35006,Στερεάς Ελλάδας,Φθιώτιδας,9163,ΜΩΛΟΥ - ΑΓΙΟΥ ΚΩΝΣΤΑΝΤΙΝΟΥ,0235-22000,,0Γ,7/17/1997,1997,41,0,128
293,CAMPING ΕΟΤ ΚΑΜΕΝΩΝ ΒΟΥΡΛΩΝ,Υ/Α ΕΟΤ ΚΑΜΠΙΝΓΚ ΚΑΜΜΕΝΩΝ ΒΟΥΡΛΩΝ,ΚΑΜΜΕΝΑ ΒΟΥΡΛΑ,35008,Στερεάς Ελλάδας,Φθιώτιδας,9163,ΜΩΛΟΥ - ΑΓΙΟΥ ΚΩΝΣΤΑΝΤΙΝΟΥ,0235 - 22053-5 ,,0Α,,1996,250,50,1200
294,INTERSTASION,ΤΟΥΡ/ΚΕΣ ΕΠΙΧ/ΣΕΙΣ INTERSTASION ΚΑΜΠΙΝΓΚ ΕΠΕ,ΦΑΛΑΡΩΝ 10,35300,Στερεάς Ελλάδας,Φθιώτιδας,9164,ΣΤΥΛΙΔΟΣ,22380 23827-8,,0Γ,,,79,16,380
295,ΠΑΡΡΑΣ,ΠΑΡΡΑΣ ΚΑΜΠΙΝΓΚ,ΠΕΡΙΚΛΕΟΥΣ 4,35300,Στερεάς Ελλάδας,Φθιώτιδας,9164,ΣΤΥΛΙΔΟΣ,0238-22221,,0Β,9/8/1983,1983,33,0,99
296,ΑΠΟΛΛΩΝ,ΚΟΝΤΟΓΙΑΝΝΗΣ ΝΙΚΟΛΑΟΣ  Ξ.Τ.Ν.Ε.Κ.Β.  Α.Ε.,ΔΕΛΦΟΙ,33054,Στερεάς Ελλάδας,Φωκίδας,9165,ΔΕΛΦΩΝ,22650 82750,,0Γ,4/18/1995,1995,36,0,108
297,ΚΑΠΑΡΕΛΗΣ ΚΑΜΠΙΝΓΚ,ΚΑΠΑΡΕΛΗ ΑΦΟΙ Ο.Ε.ΚΑΠΑΡΕΛΗΣ ΚΑΜΠΙΝΓΚ,,0,Στερεάς Ελλάδας,Φωκίδας,9165,ΔΕΛΦΩΝ,0265-32989,,0Γ,,1996,108,0,378
298,BEACH CAMP,ΛΑΓΓΟΥΡΑΝΗ Μ.-Ε.ΑΡΓΥΡΟΠΟΥΛΟΣ ΟΕ,,33200,Στερεάς Ελλάδας,Φωκίδας,9165,ΔΕΛΦΩΝ,0265-32305,,0Γ,5/15/1979,1979,62,0,186
